Name,Mean,StandardDeviation,N.C. A&T,St. Mary's (Cal.),La Salle,James Madison,Illinois,Butler,Temple,Davidson,Pacific,California,Montana,LIU Brooklyn,Middle Tenn.,Wisconsin,Boise State,Iowa State,Arizona,Wichita State,Iona,Harvard,Southern Univ.,VCU,South Dakota State,Oklahoma,Minnesota,Western Kentucky,Northwestern State,Florida Gulf Coast,Liberty,North Carolina,Albany,Valparaiso,Cincinnati,Missouri,New Mexico St.,Oregon,Miami (FL),Bucknell,NC State,UNLV,Kansas State,Notre Dame,Pittsburgh,New Mexico,Akron,Georgetown,UCLA,Villanova,Duke,Memphis,Colorado State,Oklahoma State,Colorado,Syracuse,Belmont,Mississippi,Kansas,San Diego State,Michigan State,Saint Louis,Marquette,Gonzaga,Michigan,Creighton,Florida,Ohio State,Louisville,Indiana
N.C. A&T,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
St. Mary's (Cal.),0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
La Salle,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
James Madison,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Illinois,0.025627999999999998,0.0307703637359788940.0,0.0,0.0,0.0,9.468152844444449E-4,-1.6827020666666662E-4,2.5837986666666664E-5,-2.9425417777777742E-5,0.0,2.2145833333333354E-5,0.0,5.019958444444445E-5,-1.9400395999999995E-4,0.0010553132644444442,0.0,-0.0014857434066666666,2.853048666666668E-5,-3.5956177777777714E-5,1.4464847333333335E-4,-8.722062666666666E-5,-3.0269515555555554E-5,7.58234755555556E-5,0.0,-1.1131909555555549E-4,1.7934951777777777E-4,0.0,0.0,-3.0269515555555554E-5,0.0,2.0143604444444448E-4,0.0,-3.542860888888888E-5,7.012965333333335E-5,-0.0011903310399999994,-5.104319333333332E-5,1.269341688888889E-4,-2.873433333333332E-4,1.0994742888888889E-4,6.861090222222225E-5,-2.346174999999999E-4,2.2570500000000006E-4,4.060896222222227E-5,-9.165215555555557E-5,3.059789600000002E-4,-6.053903111111111E-5,-0.0013098021511111107,-1.8768729555555553E-4,-5.8323266666666644E-5,8.39649444444444E-4,4.3456673777777756E-4,-3.0269515555555554E-5,-3.2485279999999964E-5,-2.3498028444444443E-4,-2.5788888888890317E-6,-1.045104222222207E-5,-8.131270888888887E-5,0.002262358333333334,1.6217409555555564E-4,-8.240536133333332E-4,-3.5156902888888855E-4,-2.9783902666666664E-4,-9.733881777777758E-5,-4.281800000000002E-4,-2.796996533333333E-4,-2.998255555555554E-4,0.0012095659711111127,-9.363611111111108E-5,1.5713541555555625E-4,
Butler,0.012002,0.0220237436518963440.0,0.0,0.0,0.0,-1.6827020666666662E-4,4.850452844444445E-4,-2.9971875555555556E-5,-1.2387590444444446E-4,0.0,4.576805555555553E-5,0.0,-1.4175695555555558E-5,1.4101396E-4,6.160835555555417E-6,0.0,0.0010424420844444447,-4.417497777777794E-6,-8.046395555555559E-5,-4.0846806666666666E-5,-4.0846806666666666E-5,2.200173777777778E-5,-6.726604222222224E-5,0.0,-1.0827180444444446E-4,1.747645999999998E-5,0.0,0.0,-1.4175695555555558E-5,0.0,-4.017138222222223E-4,0.0,6.467292000000002E-5,-4.252708666666667E-5,-7.301070822222222E-4,-4.669373333333334E-6,-6.289857777777777E-6,2.1402111111111106E-4,-1.1172528444444447E-4,3.30076444444444E-6,-6.520472222222222E-5,-6.210777777777778E-5,7.970137777777783E-6,6.694511111111102E-6,7.694958444444446E-5,7.826042222222222E-6,-5.397443044444445E-4,-3.247201555555557E-5,5.8323266666666664E-5,4.101444444444446E-5,-6.068211822222226E-4,-1.4175695555555558E-5,3.240968888888867E-6,-7.386757111111112E-5,0.001639053888888889,-2.2505083555555557E-4,-5.5022502222222234E-5,-0.0011637222222222222,-7.175819555555555E-5,-5.380851422222223E-4,8.506288177777778E-4,-3.146763177777778E-4,-1.0397395999999993E-4,2.3193277777777758E-4,-1.9427913333333333E-5,4.920477777777776E-4,0.0018871268066666662,-4.986944444444445E-4,-9.702926377777781E-4,
Temple,0.003189000000000001,0.0051347778270664580.0,0.0,0.0,0.0,2.5837986666666664E-5,-2.9971875555555556E-5,2.6365943333333335E-5,3.7942013333333336E-5,0.0,-6.277605555555554E-6,0.0,-3.7665633333333337E-6,-2.4140730000000003E-5,-1.8484625111111114E-4,0.0,-1.6977999777777783E-4,2.0962359999999995E-5,4.2892049999999985E-5,-1.0853230000000002E-5,-1.0853230000000002E-5,-3.7665633333333337E-6,5.0053126666666695E-5,0.0,5.758389111111112E-5,6.491386666666665E-6,0.0,0.0,8.788647777777781E-6,0.0,2.191728833333333E-4,0.0,-7.533126666666667E-6,1.2555211111111118E-6,5.036718411111111E-4,-1.0853230000000002E-5,2.155764E-5,-4.1634166666666655E-5,-4.575624444444443E-6,-3.3452610000000006E-5,-3.889989444444445E-5,8.061083333333332E-5,-1.0044168888888891E-5,-1.3364272222222226E-5,-3.7867603333333334E-5,-7.533126666666667E-6,-1.4845503666666667E-4,3.602861333333333E-5,-6.277605555555554E-6,-4.931138888888891E-5,4.1863184111111103E-4,-3.7665633333333337E-6,-5.022084444444443E-6,6.937846666666664E-6,-2.063991666666667E-4,1.0334958444444446E-4,-2.064582222222222E-6,-1.8750138888888888E-4,-3.7505002222222224E-5,-5.034131777777777E-5,-9.515149222222222E-5,6.333826444444446E-5,9.672118888888895E-6,-9.389833333333336E-5,-1.218079888888889E-5,-1.319891666666667E-4,-2.0263260333333328E-4,-1.505916666666667E-4,2.919576744444444E-4,
Davidson,0.012001999999999999,0.0220237436518963440.0,0.0,0.0,0.0,-2.9425417777777742E-5,-1.2387590444444446E-4,3.7942013333333336E-5,4.850452844444445E-4,0.0,7.087847777777778E-5,0.0,2.200173777777778E-5,-1.0386040000000003E-5,3.6375805777777795E-4,0.0,-4.104402666666667E-5,9.973805777777777E-5,3.424086111111111E-4,6.339729333333333E-5,-4.0846806666666666E-5,-1.6204844444444432E-6,6.051173555555552E-5,0.0,3.949170844444444E-4,-6.299264000000001E-5,0.0,0.0,6.629340444444446E-5,0.0,-2.85067288888889E-4,0.0,-2.8351391111111115E-5,8.667465777777778E-5,0.002659084584444444,-4.0846806666666666E-5,-5.5022502222222234E-5,-8.877888888888886E-5,4.1098682222222215E-5,3.4535422222222162E-6,-2.4090681111111115E-4,2.1378333333333335E-5,-3.632152888888889E-5,-4.881694444444445E-5,1.0041902888888887E-4,-1.579618E-5,-0.0010115967377777777,1.3133041777777774E-4,-5.832326666666668E-5,1.2315055555555562E-4,-7.582211822222224E-4,-1.4175695555555558E-5,2.8351391111111122E-5,1.3437930666666665E-4,-1.7014888888888894E-4,-2.2505083555555557E-4,-5.5022502222222234E-5,0.0015871555555555556,5.601958222222222E-5,5.8280835555555597E-5,-1.4610415555555562E-5,-5.117919511111111E-4,-2.0812951555555545E-4,-1.1111166666666679E-4,-1.9307410222222223E-4,-3.6076888888888895E-4,-0.00103450896,-3.2448055555555564E-4,-8.36553404444445E-4,
Pacific,0.0,0.00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
California,0.005315,0.0056025019212649790.0,0.0,0.0,0.0,2.2145833333333354E-5,4.576805555555553E-5,-6.277605555555554E-6,7.087847777777778E-5,0.0,3.1388027777777784E-5,0.0,6.277605555555557E-6,4.0234550000000006E-5,2.2072604444444438E-4,0.0,2.9970694444444437E-4,7.441000000000006E-7,6.277605555555545E-6,1.8088716666666665E-5,-1.808871666666667E-5,6.277605555555557E-6,-2.3622222222222227E-5,0.0,3.3956944444444456E-5,-1.1811111111111118E-5,0.0,0.0,6.277605555555557E-6,0.0,-1.4579045000000004E-4,0.0,0.0,1.8832816666666667E-5,9.929010555555569E-5,-1.808871666666667E-5,-2.4366322222222225E-5,2.2145833333333354E-5,1.1811111111111108E-5,1.8088716666666672E-5,-1.0668386111111111E-4,-3.3956944444444456E-5,0.0,5.533505555555558E-6,7.566788333333335E-5,0.0,-3.502762166666667E-4,1.1811111111111098E-5,-6.277605555555554E-6,7.529583333333335E-5,-3.059845500000001E-4,-6.277605555555557E-6,1.2555211111111109E-5,0.0,3.9714861111111104E-4,-9.966215555555557E-5,-2.4366322222222225E-5,2.288402777777777E-4,2.2145833333333344E-5,-1.1811111111111112E-4,1.790151055555556E-4,-2.1408820000000004E-4,-6.23803833333333E-5,6.496111111111105E-5,-5.278976111111112E-5,2.2145833333333354E-5,2.0189322777777787E-4,-5.315000000000007E-5,-5.938803833333335E-4,
